line_id,molecule,transition,E(K),Aij(s-1),freq
h2_v2_j8__v0_j8,h2,v2_j8__v0_j8,11050.05373203,1.181e-07,230245.76090661358
h2_v2_j8__v0_j6,h2,v2_j8__v0_j6,13405.39770308,3.383e-07,279323.1661358083
h2_v2_j8__v1_j10,h2,v2_j8__v1_j10,2659.40238058,4.865e-08,55412.954499816115
h2_v2_j8__v1_j8,h2,v2_j8__v1_j8,5358.77128511,3.723e-07,111658.6762368617
h2_v2_j8__v1_j6,h2,v2_j8__v1_j6,7593.4703274,4.311e-07,158222.24903632337
h2_v2_j8__v2_j6,h2,v2_j8__v2_j6,2116.42109427,9.338e-08,44099.060245880166
h2_v2_j9__v0_j11,h2,v2_j9__v0_j11,7845.1508661,4.72e-09,163466.42056196913
h2_v2_j9__v0_j9,h2,v2_j9__v0_j9,10909.89043239,1.165e-07,227325.23161694605
h2_v2_j9__v0_j7,h2,v2_j9__v0_j7,13520.54014911,3.385e-07,281722.3454286637
h2_v2_j9__v1_j11,h2,v2_j9__v1_j11,2385.12277492,3.055e-08,49697.894823382216
h2_v2_j9__v1_j9,h2,v2_j9__v1_j9,5289.34004373,3.658e-07,110211.96390496682
h2_v2_j9__v1_j7,h2,v2_j9__v1_j7,7765.35317832,3.401e-07,161803.70653477506
h2_v2_j9__v2_j7,h2,v2_j9__v2_j7,2343.90934218,1.609e-07,48839.14622261394
h2_v2_j10__v0_j12,h2,v2_j10__v0_j12,7494.12878371,2.692e-09,156152.3071273314
h2_v2_j10__v0_j10,h2,v2_j10__v0_j10,10756.81609291,1.147e-07,224135.67990764632
h2_v2_j10__v0_j8,h2,v2_j10__v0_j8,13604.12287038,3.285e-07,283463.92675705795
h2_v2_j10__v1_j12,h2,v2_j10__v1_j12,2123.16344012,1.844e-08,44239.54793835435
h2_v2_j10__v1_j10,h2,v2_j10__v1_j10,5213.47151749,3.598e-07,108631.12032025578
h2_v2_j10__v1_j8,h2,v2_j10__v1_j8,7912.84042202,2.433e-07,164876.84205730137
h2_v2_j10__v2_j8,h2,v2_j10__v2_j8,2554.06913835,2.553e-07,53218.16585044439
h2_v2_j11__v0_j13,h2,v2_j11__v0_j13,7150.35697856,1.468e-09,148989.26495808206
h2_v2_j11__v0_j11,h2,v2_j11__v0_j11,10591.52019129,1.127e-07,220691.47216294336
h2_v2_j11__v0_j9,h2,v2_j11__v0_j9,13656.25975759,3.093e-07,284550.2832181286
h2_v2_j11__v1_j13,h2,v2_j11__v1_j13,1873.8426811,1.063e-08,39044.54624311568
h2_v2_j11__v1_j11,h2,v2_j11__v1_j11,5131.49210155,3.545e-07,106922.94645436117
h2_v2_j11__v1_j9,h2,v2_j11__v1_j9,8035.70936893,1.51e-07,167437.01550614942
h2_v2_j11__v2_j9,h2,v2_j11__v2_j9,2746.3693252,3.79e-07,57225.051601182575
h2_v2_j12__v0_j14,h2,v2_j12__v0_j14,6814.27981978,7.602e-10,141986.55320453318
h2_v2_j12__v0_j12,h2,v2_j12__v0_j12,10414.69051325,1.105e-07,217006.93951192324
h2_v2_j12__v0_j10,h2,v2_j12__v0_j10,13677.37782245,2.823e-07,284990.3122922381
h2_v2_j12__v1_j14,h2,v2_j12__v1_j14,1637.26073889,5.82e-09,34114.97842182881
h2_v2_j12__v1_j12,h2,v2_j12__v1_j12,5043.72516966,3.5e-07,105094.18032294618
h2_v2_j12__v1_j10,h2,v2_j12__v1_j10,8134.03324703,7.358e-08,169485.75270484757
h2_v2_j12__v2_j10,h2,v2_j12__v2_j10,2920.56172954,5.322e-07,60854.63238459183
h2_v2_j13__v0_j15,h2,v2_j13__v0_j15,6486.13801474,3.709e-10,135149.18739447344
h2_v2_j13__v0_j13,h2,v2_j13__v0_j13,10226.99750578,1.08e-07,213096.05180315895
h2_v2_j13__v0_j11,h2,v2_j13__v0_j11,13668.16071707,2.494e-07,284798.2589780155
h2_v2_j13__v1_j15,h2,v2_j13__v1_j15,1413.33492987,2.991e-09,29449.12162739608
h2_v2_j13__v1_j13,h2,v2_j13__v1_j13,4950.48320687,3.466e-07,103151.33305797947
h2_v2_j13__v1_j11,h2,v2_j13__v1_j11,8208.13262733,2.062e-08,171029.73326943332
h2_v2_j13__v2_j11,h2,v2_j13__v2_j11,3076.64052721,7.132e-07,64106.78684486852
h2_v2_j14__v0_j16,h2,v2_j14__v0_j16,6165.99556166,1.694e-10,128478.50103443771
h2_v2_j14__v0_j14,h2,v2_j14__v0_j14,10029.07927938,1.053e-07,208972.10510209764
h2_v2_j14__v0_j12,h2,v2_j14__v0_j12,13629.48997284,2.124e-07,283992.4914092794
h2_v2_j14__v1_j16,h2,v2_j14__v1_j16,1201.83295486,1.423e-09,25042.135530281164
h2_v2_j14__v1_j14,h2,v2_j14__v1_j14,4852.06019848,3.442e-07,101100.53031918495
h2_v2_j14__v1_j12,h2,v2_j14__v1_j12,8258.52462925,5.93e-11,172079.73222030234
h2_v2_j14__v2_j12,h2,v2_j14__v2_j12,3214.79945959,9.178e-07,66985.55189735616
h2_v2_j15__v0_j17,h2,v2_j15__v0_j17,5853.76418009,7.203e-11,121972.65465831326
h2_v2_j15__v0_j15,h2,v2_j15__v0_j15,9821.52741449,1.024e-07,204647.4259450484
h2_v2_j15__v0_j13,h2,v2_j15__v0_j13,13562.38690553,1.736e-07,282594.2903537339
h2_v2_j15__v1_j17,h2,v2_j15__v1_j17,1002.40323148,6.128e-10,20886.69434234153
